,veg_label,rndm_veg_id,rndm_def
0,adzuki bean ,http://purl.obolibrary.org/obo/FOODON_00002758,None
1,arugula greens ,http://purl.obolibrary.org/obo/FOODON_00002426,"Arugula, (Eruca sativa) is an edible annual plant, also known as rocket salad, rucola, rucoli, rugula, colewort, and roquette."
2,asparagus ,http://purl.obolibrary.org/obo/FOODON_03301774,None
3,asparagus spear ,http://purl.obolibrary.org/obo/FOODON_03311349,None
4,bean ,http://purl.obolibrary.org/obo/FOODON_03301403,None
5,black radish ,http://purl.obolibrary.org/obo/FOODON_00003075,A black radish is a radish of the black radish plant
6,broad bean ,http://purl.obolibrary.org/obo/FOODON_00002818,A whole raw mature broad bean.
7,broccoli floret ,http://purl.obolibrary.org/obo/FOODON_03301713,None
8,cabbage head ,http://purl.obolibrary.org/obo/FOODON_03301326,None
9,cauliflower floret ,http://purl.obolibrary.org/obo/FOODON_03302732,None
10,daikon ,http://purl.obolibrary.org/obo/FOODON_00003076,A daikon radish is a radish of the daikon radish plant
11,endive ,http://purl.obolibrary.org/obo/FOODON_03302987,A whole raw endive leaf.
12,endive leaf ,http://purl.obolibrary.org/obo/FOODON_03302987,A whole raw endive leaf.
13,field pea ,http://purl.obolibrary.org/obo/FOODON_03306817,A type of pea which is cultivated to produce dry peas.
14,french endive ,http://purl.obolibrary.org/obo/FOODON_03303387,None
15,green cabbage head ,http://purl.obolibrary.org/obo/FOODON_03310228,None
16,kidney bean ,http://purl.obolibrary.org/obo/FOODON_03310014,A whole raw sprouted kidney bean.
17,lettuce head ,http://purl.obolibrary.org/obo/FOODON_03301613,None
18,lima bean ,http://purl.obolibrary.org/obo/FOODON_00002816,A whole raw immature lima bean.
19,mizuna greens bunch ,http://purl.obolibrary.org/obo/FOODON_00002427,"Mizuna (ミズナ（水菜）, ""water greens""), is a cultivated crop plant from the species Brassica juncea var. japonica a dark green, serrated leafed plant"
20,mizuna leaf ,http://purl.obolibrary.org/obo/FOODON_00003641,A leaf of a mizuna plant (Brassica rapa subsp. nipposinica).
21,mustard greens ,http://purl.obolibrary.org/obo/FOODON_03301579,None
22,radish ,http://purl.obolibrary.org/obo/FOODON_03304656,None
23,red cabbage head ,http://purl.obolibrary.org/obo/FOODON_03304685,None
24,romaine lettuce head ,http://purl.obolibrary.org/obo/FOODON_03306127,None
25,root vegetable ,http://purl.obolibrary.org/obo/FOODON_03301561,None
26,salad greens ,http://purl.obolibrary.org/obo/FOODON_03310789,Salad greens are leaf vegetables that are served raw in a salad.
27,savoy cabbage head ,http://purl.obolibrary.org/obo/FOODON_00003031,A cabbage head from a Savoy cabbage plant.
28,scallion ,http://purl.obolibrary.org/obo/FOODON_00003697,A raw scallion is a scallion plant possibly with root removed and leaves trimmed
29,swamp cabbage head ,http://purl.obolibrary.org/obo/FOODON_03000060,A raw swamp cabbage head.
30,winged bean ,http://purl.obolibrary.org/obo/FOODON_00002810,A whole raw mature winged bean.
